src_action_id,publisher_id,action_name,action_type,description,investment_cost,implementation_timeline,subsector_number,gpc_reference_number,emissions_impact_text,emissions_impact_numeric,cobenefits,action_role,intervention_type,outcome_summary,intervention_summary,generation_method
icare_0074,icare,Adopt industrial energy efficiency technologies,mitigation,"Implementation of energy-efficient technologies in mining processes, particularly in comminution, by upgrading ore concentration methods, using efficient grinding and crushing technologies, and optimizing particle size feed. Other opportunities include improving separation, drying, and materials handling processes.",medium,5-10 years,IV.1,"[""IV.1""]",very low,1,"[""air_quality"", ""stakeholder_engagement"", ""habitat"", ""water_quality"", ""cost_of_living""]",outcome,,Mining processes adopt energy-efficient comminution and materials handling technologies.,,expert_reviewed
icare_0076,icare,Electrify Industrial Processes (with Renewable Power),mitigation,"Transitioning steel production processes to electrified methods such as molten oxide electrolysis, advanced direct reduction, and other methods powered by low-carbon electricity to reduce emissions and improve energy efficiency.",medium,>10 years,IV.1,"[""IV.1""]",low,2,"[""cost_of_living"", ""habitat"", ""stakeholder_engagement"", ""air_quality"", ""water_quality""]",outcome,,Industrial processes electrify with renewable power.,,expert_reviewed
icare_0078,icare,Decarbonize industrial feedstocks,mitigation,"Decarbonising feedstocks for industrial processes through Carbon Capture and Storage (CCS), Carbon Capture and Utilisation (CCU), and integration with low-carbon energy sources. This includes capturing carbon from various industrial emissions and reusing or storing it to reduce greenhouse gas emissions. Applications include creating synthetic fuels, chemicals, and materials while using renewable energy or biogenic carbon sources.",medium,5-10 years,IV.1,"[""IV.1""]",very low,1,"[""cost_of_living"", ""water_quality"", ""air_quality"", ""stakeholder_engagement"", ""habitat""]",outcome,,"Industrial feedstocks are decarbonised through CCS, CCU, and low-carbon energy integration.",,expert_reviewed
icare_0079,icare,Implement carbon capture and utilization (CCU),mitigation,"Capturing CO₂ from industrial processes or combustion gases and reusing it for producing fuels, chemicals, and building materials, reducing emissions from the initial source and substituting new fossil/biogenic feedstocks. Prioritize CCU for residual emissions and for end-uses with robust MRV and, where possible, durable carbon retention; do not displace higher-priority efficiency and material circularity measures.",low,<5 years,IV.1,"[""IV.1""]",low,2,"[""water_quality"", ""stakeholder_engagement"", ""cost_of_living"", ""air_quality""]",intervention,infrastructure,Industrial CO₂ is captured and reused as feedstock.,The city supports implementation of carbon capture and utilisation.,expert_reviewed
icare_0082,icare,Implement carbon capture and storage (CCS),mitigation,"Carbon Capture and Storage (CCS) involves capturing CO₂ from industrial processes, energy generation, or the atmosphere and storing it in geological formations for millennia. CCS can enable near-zero or negative emissions when combined with sustainably sourced biofuels or direct air capture. Apply CCS primarily to residual/process emissions (e.g., calcination) after efficiency, circularity, and electrification have been pursued where feasible.",high,>10 years,IV.1,"[""IV.1""]",low,2,"[""water_quality"", ""cost_of_living"", ""stakeholder_engagement"", ""habitat"", ""air_quality""]",intervention,infrastructure,Industrial CO₂ is captured and stored in geological formations.,The city supports implementation of carbon capture and storage.,expert_reviewed
icare_0099,icare,Increase local participation in Agroecological Certification Programmes,mitigation,"Agroecological product certifications confirm products meet sustainability criteria and have low environmental impact. Certifications may help rural producers to understand sustainable practices, improve their use of sustainable practices, and increase demand for their products. Actions include creating a dedicated local programme, starting a partnership with an existing certification programme, or raising awareness of certification options and routes to compliance among local producers.",low,<5 years,I.5,"[""V.1"",""V.2""]",low,2,"[""habitat"", ""air_quality"", ""water_quality"", ""stakeholder_engagement"", ""cost_of_living""]",outcome,,More local rural producers hold agroecological certifications.,,expert_reviewed
icare_0101,icare,Accelerate the adoption of Zero Emission Agricultural Machinery,mitigation,"Support the transition to zero-emission agricultural machinery, such as tractors and equipment powered by renewable electricity or solar energy. These technologies eliminate greenhouse gas emissions, reduce harmful air pollution and noise, and offer opportunities to modernize and improve agricultural tools and practices. Cities and regions can take multiple actions to accelerate this transition, including:
- Replacing existing municipal machinery with zero-emission alternatives.
- Establishing equipment leasing or sharing schemes to increase accessibility.
- Launching local awareness campaigns through training, education, and communication channels.
- Creating financial incentive or loan programs to encourage adoption.
- Partnering with manufacturers and organizing fairs or demonstrations to showcase zero-emission technologies and other sustainable agricultural solutions to local producers.",medium,5-10 years,I.5,"[""V.2""]",very low,1,"[""stakeholder_engagement"", ""air_quality"", ""water_quality"", ""habitat""]",outcome,,Agricultural machinery shifts to zero-emission power.,,expert_reviewed
icare_0104,icare,Adopt hybrid renewable energy systems (solar-wind),mitigation,"Combine solar and wind energy technologies to create reliable, diversified renewable energy systems suitable for various environmental conditions.",high,>10 years,I.4,"[""I.4.4""]",low,2,"[""stakeholder_engagement""]",outcome,,Local renewable generation diversifies into hybrid solar-wind systems.,,expert_reviewed
icare_0105,icare,Reduce technical losses in energy distribution networks,mitigation,"Upgrade and maintain electrical infrastructure to minimize energy lost during transmission and distribution, improving overall grid efficiency.",medium,5-10 years,I.4,"[""I.4.1"",""I.4.2""]",very low,1,"[""stakeholder_engagement"", ""air_quality"", ""cost_of_living""]",outcome,,Technical losses in energy distribution networks fall.,,expert_reviewed
icare_0110,icare,"Regulate Construction and Demolition Waste Management to improve deconstruction, segregation at source, reutilization and recycling",mitigation,"Establish comprehensive guidelines for the sustainable management of construction and demolition waste (CDW) to promote efficiency, circularity, and environmental responsibility across the construction sector. The action aims to reduce waste generation at the source, encourage selective deconstruction instead of conventional demolition, and foster material segregation, reuse, and recycling.

These guidelines should define technical standards, responsibilities, and incentives for all stakeholders involved — including contractors, developers, and waste operators — to ensure that valuable materials such as concrete, metals, wood, and aggregates are recovered and reintegrated into new construction cycles. The framework should also establish procedures for safe handling, transportation, and disposal of non-recyclable materials, ensuring compliance with environmental regulations and minimizing landfill use.",medium,<5 years,III.1,"[""III.1.1""]",low,2,"[""water_quality"", ""habitat""]",intervention,regulatory,"Construction and demolition waste is reduced, reused, and recycled.","The city regulates construction and demolition waste management for deconstruction, segregation, and reuse.",expert_reviewed
icare_0111,icare,Strengthen Extended Producer Responsibility (EPR) Systems,mitigation,"Enhance processes for returning products to the production cycle, encouraging collection, reuse, and recycling.",medium,5-10 years,III.1,"[""III.1.1""]",low,2,"[""cost_of_living"", ""habitat"", ""water_quality"", ""stakeholder_engagement""]",intervention,regulatory,"Products re-enter production cycles through return, reuse, and recycling.",The city strengthens Extended Producer Responsibility systems.,expert_reviewed
icare_0117,icare,Improve public transport systems to promote modal shift,mitigation,"Implements measures to enhance the coverage, frequency, capacity, speed, reliability, accessibility, resilience, safety, affordability, comfort, and convenience of public transport systems (e.g., buses, BRT, informal transport, intra-city rail). Specific actions include expanding routes, improving service frequency and reliability, integrating ticketing systems, and ensuring universal accessibility. These improvements encourage passengers to shift from private motorized transport to public transport, reducing emissions and supporting more sustainable mobility.",medium,5-10 years,II.1,"[""II.1.1""]",low,2,"[""mobility"", ""air_quality"", ""cost_of_living""]",outcome,,Passengers shift from private motorised transport to public transport.,,expert_reviewed
icare_0120,icare,"Implement energy efficiency criteria and indicators in the procurement of goods, services, or works by the municipal public administration.",mitigation,"The architectural projects for all renovations and constructions contracted must be designed to minimize the use of artificial lighting and internal cooling, allowing for the use of natural light and cross ventilation. It sould include all energy end-uses in municipal buildings, promote the use of sustainable materials, and adoption of passive design principles.",low,<5 years,I.6,"[""I.6.1""]",low,2,"[""stakeholder_engagement""]",intervention,regulatory,Municipal buildings and works are procured to minimise energy demand and use sustainable materials.,The city embeds energy-efficiency criteria into public procurement.,expert_reviewed
icare_0121,icare,"Incentive to create bike-sharing programs in urban areas, with a focus on electric bikes.",mitigation,"This action encourages the establishment of bike-sharing systems in cities, specifically promoting the use of electric bicycles. These systems allow residents to rent electric bikes for short trips, reducing the dependence on cars for urban transportation. By integrating electric bikes, cities can further reduce greenhouse gas emissions, alleviate traffic congestion, and promote a healthier and more sustainable mode of transportation for both urban and rural areas. This initiative also supports mobility equality, as it makes bikes more accessible to a wider range of people.",medium,<5 years,II.1,"[""II.1.1""]",low,2,"[""stakeholder_engagement"", ""mobility"", ""cost_of_living"", ""air_quality""]",intervention,financial,Short urban trips shift from cars to electric bicycles.,The city incentivises electric bike-sharing programs.,expert_reviewed
icare_0122,icare,Establish eco-parks.,mitigation,"An eco-park is a facility for the mechanical and biological treatment of urban solid waste, integrating different technologies for the segregation and treatment of various fractions within the waste. This treatment aims to maximize the recovery of dry and organic waste and reduce the volume of waste to be sent for final disposal in landfills, using technologies such as energy generation, composting, recycling recovery, proper disposal of residual waste, and other existing treatment methods available in the market. By integrating these processes , eco-parks operate as multi-technology hubs for waste management, fostering synergies between waste reduction, energy recovery, and environmental protection for the cities. They also contribute to green job creation, climate change mitigation, and urban sustainability.",medium,<5 years,V.2,"[""V.2""]",low,2,"[""water_quality"", ""habitat"", ""housing"", ""air_quality""]",intervention,infrastructure,Urban solid waste is treated in multi-technology eco-park hubs.,The city establishes eco-park facilities for mechanical and biological waste treatment.,expert_reviewed
icare_0127,icare,Improve Accelerate Environmental Regularization of Rural Properties,mitigation,Implement programs to register properties in the Rural Environmental Registry (CAR) and adhere to environmental restoration commitments.,medium,5-10 years,I.5,"[""V.2""]",low,2,"[""water_quality"", ""habitat"", ""stakeholder_engagement"", ""air_quality""]",outcome,,Rural properties are registered in the Rural Environmental Registry and subject to restoration commitments.,,expert_reviewed
icare_0128,icare,Establish Municipal Programs for Payment for Environmental Services and other ecological financial incentives,mitigation,"Financial incentives such as loans, taxes, grants and rebates can be effective ways to promote ecological conservation and more sustainable practices. Municipalities can initiate schemes or help implement regional or national programmes. Payment for Environmental Services involves paying landowners for maintaining or improving environmental conditions on their properties.",medium,5-10 years,V.2,"[""V.2""]",low,2,"[""stakeholder_engagement"", ""water_quality"", ""habitat"", ""cost_of_living"", ""air_quality"", ""housing""]",intervention,financial,Landowners receive payments for maintaining or improving environmental conditions.,The city establishes municipal payment-for-environmental-services programs.,expert_reviewed
icare_0131,icare,Prioritize Procurement of Locally Produced Agroecological Products in Public Purchases,mitigation,"Focus on buying sustainable, locally produced food for public institutions. Additional actions could include identifying reliable local suppliers, partnering with producers and allocating funding to wider sustainable procurement programs and establishing monitoring systems to ensure compliance with sustainability goals",low,<5 years,I.5,"[""V.2""]",low,2,"[""water_quality"", ""habitat"", ""air_quality"", ""cost_of_living"", ""stakeholder_engagement""]",intervention,regulatory,Public-institution food purchases shift to locally produced agroecological products.,The city prioritises local agroecological products in public procurement.,expert_reviewed
icare_0132,icare,Encourage Local Agroecological Production and Short Supply Chains,mitigation,"Support local, sustainable agricultural practices and reduce emissions associated with food transport. Actions could include incentives for local food distribution networks, partnerships with producers and investment in infrastructure to support local markets and policies to prioritize low-emission transportation methods. These should be underpinned by other programmes to encourage local sustainable agriculture methods.",low,<5 years,I.5,"[""V.2""]",low,2,"[""habitat"", ""air_quality"", ""cost_of_living"", ""water_quality"", ""stakeholder_engagement""]",intervention,program,Local agroecological production expands through short supply chains.,The city supports local agroecological production and low-emission distribution networks.,expert_reviewed
icare_0137,icare,Replace Inefficient Lighting with LED Technology in Public Spaces,mitigation,"This action focuses on replacing outdated and inefficient lighting systems in public spaces with energy-efficient LED technology. The objective is to enhance energy efficiency, reduce operational costs, and lower carbon emissions, contributing to a more sustainable and environmentally-friendly municipal infrastructure.",medium,<5 years,I.2,"[""I.2.1"",""I.2.2""]",low,2,"[""housing"", ""mobility""]",intervention,infrastructure,Public-space lighting runs on efficient LED technology.,The city replaces outdated public-space lighting with LED fixtures.,expert_reviewed
icare_0139,icare,Implement congestion pricing and restrictions on high-polluting vehicles,mitigation,"The city introduces congestion pricing and related restrictions (such as tolls, charges, or bans) on high-polluting vehicles that cover significant parts of the city. To ensure equity and social acceptance, design measures may include exemptions or discounts for low-income drivers, reinvestment of revenues into public transport and active mobility, and strong communication campaigns. While congestion pricing can deliver major emission reductions, it requires substantial governance capacity and is best suited for larger metropolitan areas.",low,<5 years,II.1,"[""II.1.1""]",low,2,"[""mobility"", ""air_quality"", ""cost_of_living""]",intervention,regulatory,Private vehicle use falls in central urban areas.,The city introduces congestion pricing and restrictions on high-polluting vehicles.,expert_reviewed
ipcc_0001,ipcc,Promote compact urban form and transit-oriented development,mitigation,"Encourages compact and mixed-use urban development to reduce travel distances, car dependency, and related GHG emissions. Measures include transit-oriented development (TOD), zoning reforms, densification around transport corridors, and integration of land use and mobility planning. Particularly suited for larger cities with the capacity to update master plans and invest in transit infrastructure.",high,>10 years,II.1,"[""II.1.1""]",very low,1,"[""housing"", ""mobility"", ""cost_of_living"", ""stakeholder_engagement"", ""air_quality""]",intervention,planning,Urban form becomes more compact and mixed-use.,The city promotes transit-oriented development and densification around transport corridors.,expert_reviewed
ipcc_0023,ipcc,Design products with lightweight materials,mitigation,"This action involves improving material efficiency by designing lighter products, optimizing material usage to maintain functionality, and incorporating circular economy principles such as reusability, repairability, and recyclability. It spans the entire product lifecycle, from design to end-of-life management.",high,5-10 years,IV.1,"[""IV.1""]",low,2,"[""air_quality""]",intervention,program,Products are designed with less material and higher circularity.,The city promotes lightweight and circular product design.,expert_reviewed
ipcc_0024,ipcc,Improve material utilization efficiency in production,mitigation,"This action focuses on enhancing material efficiency by adopting near-net shape casting and similar innovative manufacturing techniques. These methods reduce material wastage during production, improve yield from raw materials, and enhance energy efficiency by minimizing reprocessing. Strategies include optimizing product design, lightweighting, and improving recycling and reuse processes.",high,5-10 years,IV.1,"[""IV.1""]",low,2,"[""air_quality""]",outcome,,Manufacturing raises yield from raw materials.,,expert_reviewed
ipcc_0025,ipcc,"Design for Recovery, Reuse, or Repurposing",mitigation,"This action involves designing products to enable circular principles such as extended product life, reusability, repairability, and ease of recycling. It emphasizes lightweighting, material optimization, and improved recovery of materials at the end of their lifecycle through reuse, remanufacturing, or recycling.",high,5-10 years,IV.1,"[""IV.1""]",low,2,"[""air_quality""]",intervention,program,"Products are designed for reuse, repair, and recycling.",The city promotes circular product design principles.,expert_reviewed
ipcc_0026,ipcc,Adopt alternative feedstocks in industrial production,mitigation,"Utilizing alternative feedstocks, such as blast furnace slag, fly ash, and pozzolans, to reduce the clinker-to-cement ratio in cement production. These alternatives lower emissions associated with calcination and energy-intensive processes. Improved material efficiency through high-strength concretes and innovative placement methods further reduces material usage.",high,5-10 years,IV.1,"[""IV.1""]",high,4,"[""air_quality""]",outcome,,Cement production shifts to alternative feedstocks.,,expert_reviewed
ipcc_0028,ipcc,"Behavioral Changes for Reduced Waste (e.g., Food)",mitigation,"Encouraging behavioral changes to reduce waste in industrial processes and consumer habits, particularly in food production and consumption. This includes reducing food waste through better planning, optimizing portion sizes, and improving recycling and reuse practices in production and post-consumption stages.",high,5-10 years,IV.1,"[""V.2""]",low,2,[],outcome,,Food waste falls across production and consumption.,,expert_reviewed
ipcc_0031,ipcc,Enhanced product service levels per product (e.g. product sharing),mitigation,"Promotes more intensive use of durable products by encouraging product sharing, which reduces the demand for new products and the associated GHG emissions from their manufacturing and supply chain.",high,5-10 years,IV.1,"[""IV.1""]",low,2,"[""stakeholder_engagement"", ""mobility""]",outcome,,Durable products are used more intensively through sharing.,,expert_reviewed
ipcc_0033,ipcc,Improve product maintenance to extend lifespan,mitigation,Extending the lifespan of buildings and infrastructure by maintaining their structural integrity through improved product stock maintenance. This involves ensuring concrete structures remain functional for over 200 years.,high,5-10 years,IV.1,"[""IV.1""]",medium,3,"[""air_quality""]",outcome,,Buildings and infrastructure remain structurally sound for longer.,,expert_reviewed
ipcc_0034,ipcc,Promote consumer behavior focused on sufficiency and reduced consumption,mitigation,"Promotes behavioral and consumption changes to reduce overall industrial emissions, emphasizing reduced demand for products, reuse and recycling, and more efficient use of resources.",high,5-10 years,IV.1,"[""V.2""]",medium,3,[],intervention,program,Consumption patterns shift toward sufficiency.,The city promotes behavioural and consumption change toward sufficiency.,expert_reviewed
ipcc_0037,ipcc,Adopt net-zero-emissions materials and supply chains,mitigation,"Transition to net-zero embodied carbon in construction by substituting emissions-intensive materials (e.g., steel, concrete) with engineered timber systems (including mass timber for mid-rise buildings) and by integrating circular practices (reuse, recycling, design for disassembly). Prioritize certified sustainable forestry (e.g., FSC/PEFC), cascading use, and no-deforestation safeguards, ensuring timber use does not conflict with energy feedstocks. Use lifecycle assessment to guide material choices and supply-chain improvements.",high,>10 years,IV.2,"[""IV.2""]",medium,3,"[""air_quality""]",outcome,,Construction shifts to net-zero embodied-carbon materials and supply chains.,,expert_reviewed
ipcc_0038,ipcc,Stimulate solar energy production in industrial facilities,mitigation,Encourage the installation of solar energy systems in factories to reduce dependence on fossil fuels and minimize associated emissions.,high,5-10 years,IV.2,"[""IV.2""]",low,2,"[""air_quality""]",intervention,infrastructure,Industrial facilities generate more of their energy from on-site solar.,The city encourages solar installations in industrial facilities.,expert_reviewed
ipcc_0039,ipcc,Promote the substitution of traditional materials with sustainable alternatives,mitigation,"Stimulate the replacement of conventional materials in consumer goods with alternatives from Brazil's bioeconomy, such as sugarcane-based bioplastics, high-quality recycled polymers, bio-textiles made from biomass fibers or agricultural waste such as açaí seeds and coconut husks.",high,>10 years,IV.2,"[""IV.2""]",medium,3,"[""air_quality""]",intervention,program,Conventional materials are replaced with sustainable bioeconomy alternatives.,The city promotes material substitution toward sustainable alternatives.,expert_reviewed
ipcc_0040,ipcc,Promote industry-government collaborations on emissions reduction,mitigation,Foster collaborations between industry and government to create policies and incentives for reducing industrial emissions and supporting sustainability goals.,medium,5-10 years,IV.1,"[""IV.1""]",medium,3,[],intervention,planning,Industrial emissions policy is co-developed with industry.,The city fosters industry-government collaboration on emissions reduction.,expert_reviewed
ipcc_0041,ipcc,Support research into carbon-neutral manufacturing technologies,mitigation,Invest in research and development of carbon-neutral technologies and encourage their adoption in industrial production.,medium,5-10 years,IV.1,"[""IV.1""]",low,2,[],intervention,program,Carbon-neutral manufacturing technologies are developed and adopted.,The city supports R&D into carbon-neutral manufacturing.,expert_reviewed
ipcc_0042,ipcc,Set carbon emissions reduction targets for industrial sectors,mitigation,Establish clear and achievable carbon emissions reduction goals for industries and require periodic reporting to ensure progress.,high,5-10 years,IV.1,"[""IV.1""]",medium,3,"[""stakeholder_engagement""]",intervention,regulatory,Industries operate under clear emissions-reduction targets.,The city sets carbon emissions reduction targets for industrial sectors.,expert_reviewed
ipcc_0043,ipcc,Encourage the Use of Zero-Emission Fuels in Industrial Processes,mitigation,"Promote the transition to zero-emission energy sources and feedstocks in industrial processes, such as green hydrogen, biogas from sustainable sources, and synthetic e-fuels or chemicals produced with renewable electricity. These alternatives significantly reduce or eliminate process emissions compared to fossil-based fuels.
Cities can accelerate this shift by implementing pilot and demonstration projects, establishing green procurement standards, streamlining permitting processes, and creating targeted incentives, all aligned with national and sectoral decarbonization roadmaps.",high,5-10 years,IV.1,"[""IV.1""]",medium,3,[],intervention,program,Industrial processes shift to zero-emission fuels.,The city encourages zero-emission fuel use in industry.,expert_reviewed
ipcc_0045,ipcc,Transition to renewable energy for industrial operations,mitigation,"Encourage the shift to renewable energy sources such as wind, solar, and hydroelectric power in industrial operations to reduce fossil fuel use.",medium,<5 years,IV.1,"[""IV.1""]",low,2,"[""stakeholder_engagement"", ""air_quality"", ""cost_of_living""]",outcome,,Industrial operations shift to renewable energy.,,expert_reviewed
ipcc_0049,ipcc,Develop and implement circular economy policies,mitigation,"Circular Economy (CE) policies aim to close the loop for materials and energy flows by reducing, reusing, and recycling resources. These policies promote durable goods, reuse and remanufacturing, industrial symbiosis, and urban symbiosis to minimize waste and reduce GHG emissions. CE policies operate at micro, meso, and macro levels to integrate strategies like eco-design, sustainable supply chains, and urban energy symbiosis.",medium,5-10 years,IV.1,"[""IV.1""]",medium,3,[],intervention,regulatory,"Material and energy flows close through reduce, reuse, and recycle strategies.",The city develops and implements circular economy policies.,expert_reviewed
ipcc_0050,ipcc,Create tax incentives for companies adopting clean technologies,mitigation,"Implement tax incentives and subsidies for companies that invest in clean technologies, leading to substantial emission reductions.",low,<5 years,IV.1,"[""IV.1""]",low,2,"[""cost_of_living""]",intervention,financial,Clean-technology adoption by companies accelerates.,The city creates tax incentives for clean-technology adoption.,expert_reviewed
ipcc_0052,ipcc,Reduce Deforestation and Degradation,mitigation,Reduce deforestation and forest degradation to conserve carbon sequestered in forest vegetation and soil by avoiding tree cover loss and disturbance. This involves improving forest governance and supporting community forest management. Enhance monitoring and enforcement to prevent illegal deforestation and promote sustainable land use.,medium,5-10 years,V.2,"[""V.2""]",high,4,"[""water_quality"", ""air_quality""]",outcome,,Tree cover loss and forest disturbance are avoided.,,expert_reviewed
ipcc_0053,ipcc,"Implement afforestation, reforestation, and forest ecosystem restoration",mitigation,"Advance tree-planting and forest recovery initiatives that strengthen biodiversity, ecosystem services, and carbon sequestration. Afforestation establishes new forests on historically non-forested land, reforestation restores deforested areas, and ecosystem restoration prioritizes native species and ecological integrity. Municipal governments should avoid monocultures, ensure projects deliver long-term benefits, and engage local communities so that restoration efforts provide social, cultural, and economic value alongside environmental gains.",high,5-10 years,V.2,"[""V.2""]",high,4,"[""habitat"", ""water_quality""]",intervention,infrastructure,Forest cover expands and degraded ecosystems are restored.,"The city implements afforestation, reforestation, and ecosystem restoration.",expert_reviewed
ipcc_0054,ipcc,Adopt sustainable forest management practices,mitigation,"Sustainable forest management of already managed forests will increase carbon stocks, improve wood quality, mitigate disturbances, and provide co-benefits like biodiversity conservation, water regulation, and soil protection. Practises include longer rotations, reduced harvesting, mixed stands, and climate-smart forestry, and working with Indigenous Peoples is essential to safeguard their work and practices. Cities can apply these principles if they are responsible for forest management, or partner with those responsible to encourage and support best practice.",high,5-10 years,V.2,"[""V.2""]",medium,3,"[""habitat"", ""water_quality""]",outcome,,Managed forests accumulate higher carbon stocks under sustainable management practices.,,expert_reviewed
ipcc_0055,ipcc,"Implement fire management in forests, grasslands, and savannas",mitigation,"Implement fire management practices, including prescribed burning and natural resource management, to reduce uncontrolled wildfires in forests and savannas. Focuses on safeguarding life, property, and resources while mitigating GHG emissions and maintaining carbon stocks. Cities can apply these principles if they are responsible for forest management, or partner with those responsible to encourage and support best practice. Work with Indigenous Peoples to safeguard or support their own burning practices and fire management approaches.",medium,5-10 years,V.2,"[""V.2""]",low,2,"[""air_quality""]",intervention,infrastructure,"Uncontrolled wildfires in forests, grasslands, and savannas are reduced.",The city implements or partners on fire-management practices.,expert_reviewed
ipcc_0056,ipcc,Reduce and prevent degradation and conversion of Grasslands and Savannas,mitigation,"Prevent the conversion of grasslands and savannas to croplands to conserve soil carbon and biodiversity, and implement sustainable soil management practices in croplands and grasslands to enhance soil organic carbon. Cities can promote sustainable grazing, reduced tillage, fire management, biochar application, improved grass varieties and vegetation management practices, while discouraging land-use change that accelerates degradation. Partnerships with local communities and alignment with regional conservation initiatives strengthen the protection of these ecosystems.These activities aim to increase soil organic matter, mitigate GHG emissions, and provide co-benefits for biodiversity, water provision, and food security.",medium,5-10 years,V.2,"[""V.2""]",low,2,[],outcome,,Grasslands and savannas are protected from conversion and managed for higher soil carbon.,,expert_reviewed
ipcc_0057,ipcc,Restore degraded peatlands and prevent further conversion or degradation.,mitigation,"Protect intact peatlands from clearing, drainage, and conversion that release large carbon emissions, and rewet and revegetate degraded peatlands to prevent further degradation. Municipal governments can enhance governance and monitoring, restrict agricultural expansion, and collaborate with regional and national programs for wetland conservation. Safeguarding these ecosystems preserves carbon storage, reduces fire risks, and protects biodiversity and ecosystem services. Peatland restoration maintains water regulation, flood prevention, and can foster sustainable livelihoods through paludiculture.",high,5-10 years,V.2,"[""V.2""]",medium,3,"[""habitat"", ""water_quality""]",outcome,,Peatlands are protected from drainage and degraded peatlands are rewetted.,,expert_reviewed
ipcc_0060,ipcc,Protect and Restore Coastal Wetlands,mitigation,"Restore degraded or damaged coastal ecosystems, including mangroves, salt marshes, and seagrass beds. Restoration includes passive (removal of degradation drivers) and active (environmental manipulation) approaches to reinstate ecosystem functions and carbon sequestration potential. This supports biodiversity conservation, fisheries production, soil stabilization, water quality regulation, flood prevention, and resilience against cyclones. Cities can either take on restoration activities themselves, require restoration as part of Urban Planning and land use regulations, or partner with government, ecological organisations and other partners to carry out restoration projects. Economic incentives or regulations on activities that degrade coastal wetlands may also be effective.",high,>10 years,V.2,"[""V.2""]",medium,3,"[""habitat"", ""water_quality""]",outcome,,"Coastal wetlands — mangroves, salt marshes, seagrass beds — are protected and restored.",,expert_reviewed
ipcc_0062,ipcc,Create partnerships to implement biochar plants.,mitigation,"Biochar is produced by heating organic matter (e.g., forestry residues, straw, manure) in oxygen-limited environments. It has significant mitigation potential through carbon dioxide removal (CDR), reduced greenhouse gas emissions, and soil application benefits like improved fertility and reduced N2O emissions. Cities can consider trialling and adopting these technologies, in collaboration with local rural producers, utility companies and other industrial stakeholders.",high,5-10 years,V.2,"[""V.2""]",low,2,[],intervention,program,Organic residues are converted to biochar for durable carbon storage and soil application.,The city partners on biochar plant trials and deployment.,expert_reviewed
ipcc_0064,ipcc,Reduce methane emissions from enteric fermentation in livestock,mitigation,"This action targets methane (CH4) emissions from enteric fermentation in livestock through direct interventions like feed additives, inhibitors, or vaccines, and indirect measures like improving production efficiency through better breeding and husbandry practices. It also includes early-life manipulation of the ruminal biome. Adopt or develop local standards for feed additives, vaccines, and inhibitors, and support rural producers to overcome barriers to costs, infrastructure and skills on this topic.",medium,5-10 years,V.1,"[""V.1""]",low,2,[],outcome,,Livestock enteric fermentation methane falls.,,expert_reviewed
ipcc_0067,ipcc,Improve manure management and crop nutrient practices,mitigation,"Promote collective and cost-effective approaches to reduce methane (CH₄) and nitrous oxide (N₂O) emissions from manure storage and use, and implementation of improved crop nutrient management practices to reduce N2O emissions from cropland soils. Municipal governments can support the development of cooperative biodigesters, composting initiatives, and improved storage facilities, while encouraging better fertilizer application, crop rotation and grazing practices. These measures enhance nutrient recovery for crop production, reduce fertilizer costs, and generate co-benefits such as renewable energy through biogas. By facilitating financing models, partnerships, and technical assistance, cities can help farmers adopt sustainable manure and nutrient management practices at scale. ",high,5-10 years,V.1,"[""V.1"",""V.2""]",low,2,"[""air_quality"", ""water_quality"", ""habitat""]",outcome,,Manure and cropland nutrient emissions fall.,,expert_reviewed
ipcc_0068,ipcc,Pilot Bioenergy with Carbon Capture in Partnership with Utilities/Industry.,mitigation,"Bioenergy involves producing energy from organic sources like biomass, organic waste, and harvest residues, displacing fossil fuels in heat, electricity, and fuel production. When combined with carbon capture and storage (BECCS), it stores biogenic carbon in geological or terrestrial reservoirs, achieving negative emissions. BECCS can also integrate with agriculture and forestry for co-benefits like land restoration and biogas production. Cities can consider piloting and trialling these technologies, in collaboration with local rural producers, utility companies and other industrial stakeholders.",high,>10 years,V.2,"[""V.2""]",high,4,"[""water_quality"", ""air_quality"", ""stakeholder_engagement""]",intervention,program,Bioenergy with carbon capture and storage pilots store biogenic carbon durably.,The city pilots BECCS in partnership with utilities and industry.,expert_reviewed
ipcc_0069,ipcc,Promote sustainable and healthy diets,mitigation,"Support the transition to dietary patterns that improve health and reduce environmental impacts. This usually focusses on reducing animal-based food consumption (especially ruminants) and promoting plant-based options, making the action implementable and socially equitable. Cities can act through public procurement policies in schools, hospitals, events, and other institutions, as well as awareness campaigns and promoting national food guidelines.",medium,5-10 years,V.1,"[""V.2""]",medium,3,"[""water_quality""]",intervention,program,Diets shift toward lower animal-based and higher plant-based food consumption.,The city promotes sustainable and healthy diets through procurement and awareness.,expert_reviewed
ipcc_0070,ipcc,Reduce food loss and waste,mitigation,"Food loss and waste can be reduced through measures across the food supply chain, including improved harvesting and post-harvesting technologies and behaviours. To achieve these changes, cities can consider implementing food waste policies like mandatory reporting, reduction targets, consumer awareness and education campaigns, infrastructure for food storage and transportation, policy frameworks for waste reduction, financial incentives and taxation, and positive marketing for imperfect food products.",medium,5-10 years,V.2,"[""V.2""]",low,2,"[""habitat"", ""water_quality"", ""cost_of_living""]",outcome,,Food loss and waste fall across the supply chain.,,expert_reviewed
