sm_section,option,dimension,indicator,is_city_varying,city_indicator,city_indicator_datasource,sr15_code,sign
"Urban — grid, appliances, buildings",Smart grids,technological,simplicity,no,(no scope-matching bridge),"",A,0
"Urban — grid, appliances, buildings",Efficient appliances,technological,simplicity,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Efficient appliances,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Smart grids,institutional,transparency_accountability,no,(no scope-matching bridge),"",A,0
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Efficient appliances,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,intergenerational_equity,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Smart grids,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Efficient appliances,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Efficient appliances,environmental,toxic_waste,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,environmental,toxic_waste,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Smart grids,environmental,water_use,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Efficient appliances,environmental,water_use,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,environmental,water_use,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Smart grids,environmental,biodiversity,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Smart grids,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Efficient appliances,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
Industrial,Energy efficiency,technological,technical_scalability,no,(no scope-matching bridge),"",C,0
Industrial,Bio-based & circularity,technological,technical_scalability,no,(no scope-matching bridge),"",C,0
Industrial,Electrification & hydrogen,technological,technical_scalability,no,(no scope-matching bridge),"",C,0
Industrial,Industrial CCS,technological,technical_scalability,no,(no scope-matching bridge),"",C,0
Industrial,Energy efficiency,technological,maturity,no,(no scope-matching bridge),"",C,0
Industrial,Electrification & hydrogen,technological,maturity,no,(no scope-matching bridge),"",A,0
Industrial,Bio-based & circularity,technological,simplicity,no,(no scope-matching bridge),"",A,0
Industrial,Industrial CCS,technological,simplicity,no,(no scope-matching bridge),"",A,0
Industrial,Energy efficiency,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
Industrial,Electrification & hydrogen,institutional,political_acceptability,no,(no scope-matching bridge),"",C,0
Industrial,Energy efficiency,institutional,legal_admin_acceptability,no,(no scope-matching bridge),"",C,0
Industrial,Bio-based & circularity,institutional,legal_admin_acceptability,no,(no scope-matching bridge),"",A,0
Industrial,Energy efficiency,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",C,0
Industrial,Bio-based & circularity,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",A,0
Industrial,Industrial CCS,socio_cultural,public_acceptance,no,(no scope-matching bridge),"",A,0
Industrial,Energy efficiency,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
Industrial,Industrial CCS,environmental,air_pollution,no,(no scope-matching bridge),"",C,0
Industrial,Industrial CCS,environmental,water_use,no,(no scope-matching bridge),"",A,0
Industrial,Bio-based & circularity,geophysical,physical_feasibility,no,(no scope-matching bridge),"",A,0
Industrial,Industrial CCS,geophysical,physical_feasibility,no,(no scope-matching bridge),"",A,0
Industrial,Bio-based & circularity,geophysical,limited_land_use,no,(no scope-matching bridge),"",A,0
Industrial,Energy efficiency,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
Industrial,Bio-based & circularity,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
Industrial,Electrification & hydrogen,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
Industrial,Industrial CCS,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
"CDR — BECCS, DACCS",DACCS,technological,maturity,no,(no scope-matching bridge),"",A,0
"CDR — BECCS, DACCS",BECCS,technological,simplicity,no,(no scope-matching bridge),"",A,0
"CDR — BECCS, DACCS",DACCS,technological,simplicity,no,(no scope-matching bridge),"",A,0
"CDR — BECCS, DACCS",DACCS,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"CDR — afforestation, soil, weathering",Afforestation & reforestation,technological,technical_scalability,no,(no scope-matching bridge),"",C,0
"CDR — afforestation, soil, weathering",Afforestation & reforestation,technological,maturity,no,(no scope-matching bridge),"",C,0
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,technological,maturity,no,(no scope-matching bridge),"",C,0
"CDR — afforestation, soil, weathering",Enhanced weathering,technological,maturity,no,(no scope-matching bridge),"",A,0
"CDR — afforestation, soil, weathering",Afforestation & reforestation,socio_cultural,social_co_benefits,no,(no scope-matching bridge),"",C,0
"CDR — afforestation, soil, weathering",Soil carbon sequestration & biochar,environmental,water_use,no,(no scope-matching bridge),"",C,0
"CDR — afforestation, soil, weathering",Enhanced weathering,geophysical,physical_feasibility,no,(no scope-matching bridge),"",C,0
"CDR — afforestation, soil, weathering",Enhanced weathering,geophysical,global_spread,no,(no scope-matching bridge),"",C,0
Energy — renewables,Wind (on-shore & off-shore),economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Bioenergy,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Bioenergy,economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),technological,simplicity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Solar PV,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Bioenergy,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Solar PV,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Bioenergy,institutional,institutional_capacity,no,(SR1.5 code LE: no directional evidence),"",LE,0
Energy — renewables,Bioenergy,socio_cultural,social_co_benefits,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Solar PV,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Bioenergy,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Solar PV,socio_cultural,human_capabilities,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Solar PV,environmental,toxic_waste,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Bioenergy,socio_cultural,intergenerational_equity,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — renewables,Bioenergy,socio_cultural,human_capabilities,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — renewables,Bioenergy,environmental,air_pollution,no,(SR1.5 code LE: no directional evidence),"",LE,0
Energy — renewables,Bioenergy,environmental,toxic_waste,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — renewables,Bioenergy,environmental,biodiversity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),geophysical,physical_feasibility,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Bioenergy,geophysical,physical_feasibility,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),geophysical,limited_land_use,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Solar PV,geophysical,limited_land_use,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Wind (on-shore & off-shore),geophysical,limited_scarce_resources,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — renewables,Solar PV,geophysical,limited_scarce_resources,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Power sector CCS,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Nuclear energy,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Power sector CCS,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Nuclear energy,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Power sector CCS,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,technological,simplicity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Power sector CCS,technological,absence_of_risk,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Nuclear energy,technological,absence_of_risk,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Power sector CCS,economic,distributional_effects,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — storage/CCS/nuclear,Nuclear energy,economic,distributional_effects,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — storage/CCS/nuclear,Power sector CCS,technological,simplicity,no,(SR1.5 code LE: no directional evidence),"",LE,0
Energy — storage/CCS/nuclear,Electricity storage,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,institutional,transparency_accountability,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Nuclear energy,socio_cultural,social_co_benefits,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,socio_cultural,human_capabilities,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Nuclear energy,institutional,legal_admin_acceptability,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — storage/CCS/nuclear,Power sector CCS,institutional,institutional_capacity,no,(SR1.5 code LE: no directional evidence),"",LE,0
Energy — storage/CCS/nuclear,Power sector CCS,institutional,transparency_accountability,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — storage/CCS/nuclear,Power sector CCS,socio_cultural,social_co_benefits,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — storage/CCS/nuclear,Nuclear energy,socio_cultural,inclusiveness,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — storage/CCS/nuclear,Nuclear energy,socio_cultural,human_capabilities,no,(SR1.5 code NE: no directional evidence),"",NE,0
Energy — storage/CCS/nuclear,Electricity storage,environmental,air_pollution,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Electricity storage,environmental,water_use,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Nuclear energy,environmental,water_use,no,(SR1.5 code B: no directional evidence),"",B,0
Energy — storage/CCS/nuclear,Power sector CCS,geophysical,limited_scarce_resources,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Reduced food wastage,economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Sustainable intensification,economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Reduced food wastage,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Sustainable intensification,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,economic,cost-effectiveness,no,(SR1.5 code LE: no directional evidence),"",LE,0
Land & ecosystem,Dietary shifts,economic,distributional_effects,no,(SR1.5 code LE: no directional evidence),"",LE,0
Land & ecosystem,Reduced food wastage,technological,technical_scalability,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,technological,technical_scalability,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,technological,absence_of_risk,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Reduced food wastage,technological,maturity,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Dietary shifts,technological,maturity,no,(SR1.5 code LE: no directional evidence),"",LE,0
Land & ecosystem,Reduced food wastage,technological,simplicity,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Dietary shifts,technological,simplicity,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Dietary shifts,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Sustainable intensification,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Sustainable intensification,institutional,transparency_accountability,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Reduced food wastage,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Reduced food wastage,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Sustainable intensification,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,institutional,transparency_accountability,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Reduced food wastage,socio_cultural,intergenerational_equity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,socio_cultural,intergenerational_equity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Sustainable intensification,socio_cultural,intergenerational_equity,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,environmental,toxic_waste,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Dietary shifts,socio_cultural,human_capabilities,no,(SR1.5 code LE: no directional evidence),"",LE,0
Land & ecosystem,Sustainable intensification,socio_cultural,human_capabilities,no,(SR1.5 code LE: no directional evidence),"",LE,0
Land & ecosystem,Dietary shifts,environmental,air_pollution,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Sustainable intensification,environmental,air_pollution,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Reduced food wastage,environmental,toxic_waste,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Sustainable intensification,environmental,toxic_waste,no,(SR1.5 code NE: no directional evidence),"",NE,0
Land & ecosystem,Dietary shifts,environmental,water_use,no,(SR1.5 code LE: no directional evidence),"",LE,0
Land & ecosystem,Dietary shifts,geophysical,limited_land_use,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Sustainable intensification,geophysical,limited_land_use,no,(SR1.5 code B: no directional evidence),"",B,0
Land & ecosystem,Reduced food wastage,geophysical,global_spread,no,(SR1.5 code LE: no directional evidence),"",LE,0
Land & ecosystem,Dietary shifts,geophysical,global_spread,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Electric cars and buses,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,technological,simplicity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,technological,simplicity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,technological,absence_of_risk,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,technological,absence_of_risk,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Land-use & urban planning,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Land-use & urban planning,socio_cultural,human_capabilities,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,socio_cultural,human_capabilities,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,socio_cultural,human_capabilities,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,socio_cultural,inclusiveness,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Land-use & urban planning,socio_cultural,intergenerational_equity,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Land-use & urban planning,environmental,toxic_waste,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Electric cars and buses,environmental,toxic_waste,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Sharing schemes,environmental,water_use,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Sharing schemes,geophysical,global_spread,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — planning, EV, sharing",Electric cars and buses,environmental,water_use,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Electric cars and buses,environmental,biodiversity,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — planning, EV, sharing",Land-use & urban planning,geophysical,limited_scarce_resources,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Non-motorised transport,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Aviation & shipping,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Public transport,technological,simplicity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Aviation & shipping,economic,distributional_effects,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Aviation & shipping,technological,simplicity,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Aviation & shipping,technological,absence_of_risk,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Aviation & shipping,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Non-motorised transport,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Public transport,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Non-motorised transport,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Aviation & shipping,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Public transport,institutional,transparency_accountability,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Aviation & shipping,socio_cultural,social_co_benefits,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Aviation & shipping,environmental,water_use,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Aviation & shipping,environmental,biodiversity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Aviation & shipping,geophysical,limited_scarce_resources,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — transit, active, aviation",Aviation & shipping,socio_cultural,inclusiveness,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Aviation & shipping,socio_cultural,intergenerational_equity,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Public transport,environmental,toxic_waste,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Non-motorised transport,environmental,toxic_waste,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Public transport,environmental,water_use,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Non-motorised transport,environmental,water_use,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Non-motorised transport,environmental,biodiversity,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — transit, active, aviation",Aviation & shipping,geophysical,limited_land_use,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — grid, appliances, buildings",Smart grids,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Smart grids,economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Efficient appliances,economic,distributional_effects,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Efficient appliances,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Smart grids,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Smart grids,technological,absence_of_risk,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Smart grids,institutional,political_acceptability,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Efficient appliances,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,institutional,institutional_capacity,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,socio_cultural,social_co_benefits,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,technological,simplicity,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — grid, appliances, buildings",Efficient appliances,technological,absence_of_risk,no,(SR1.5 code NE: no directional evidence),"",NE,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,technological,absence_of_risk,no,(SR1.5 code NE: no directional evidence),"",NE,0
"Urban — grid, appliances, buildings",Efficient appliances,institutional,transparency_accountability,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,institutional,transparency_accountability,no,(SR1.5 code LE: no directional evidence),"",LE,0
"Urban — grid, appliances, buildings",Smart grids,socio_cultural,public_acceptance,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Efficient appliances,socio_cultural,inclusiveness,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,environmental,air_pollution,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Smart grids,environmental,toxic_waste,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,socio_cultural,public_acceptance,no,(SR1.5 code NE: no directional evidence),"",NE,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,socio_cultural,inclusiveness,no,(SR1.5 code NE: no directional evidence),"",NE,0
"Urban — grid, appliances, buildings",Low/zero-energy buildings,socio_cultural,human_capabilities,no,(SR1.5 code NE: no directional evidence),"",NE,0
"Urban — grid, appliances, buildings",Smart grids,geophysical,limited_scarce_resources,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Smart grids,geophysical,global_spread,no,(SR1.5 code B: no directional evidence),"",B,0
"Urban — grid, appliances, buildings",Efficient appliances,geophysical,limited_scarce_resources,no,(SR1.5 code LE: no directional evidence),"",LE,0
Industrial,Bio-based & circularity,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Industrial CCS,economic,cost-effectiveness,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Energy efficiency,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Bio-based & circularity,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Industrial CCS,economic,employment_productivity,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Bio-based & circularity,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Industrial CCS,technological,maturity,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Energy efficiency,technological,simplicity,no,(SR1.5 code B: no directional evidence),"",B,0
Industrial,Energy efficiency,economic,distributional_effects,no,(SR1.5 code LE: no directional evidence),"",LE,0
Industrial,Bio-based & circularity,economic,distributional_effects,no,(SR1.5 code NE: no directional evidence),"",NE,0
Industrial,Electrification & hydrogen,economic,distributional_effects,no,(SR1.5 code LE: no directional evidence),"",LE,0
Industrial,Industrial CCS,economic,distributional_effects,no,(SR1.5 code NE: no directional evidence),"",NE,0
Industrial,Electrification & hydrogen,economic,employment_productivity,no,(SR1.5 code LE: no directional evidence),"",LE,0
Industrial,Electrification & hydrogen,technological,simplicity,no,(SR1.5 code NE: no directional evidence),"",NE,0
