src_action_id,publisher_id,action_name,action_type,description,investment_cost,implementation_timeline,subsector_number,gpc_reference_number,emissions_impact_text,emissions_impact_numeric,cobenefits,action_role,intervention_type,outcome_summary,intervention_summary,generation_method,priority_or_paradigm,sector_names
CONS_0139,ssg,Switch to emissions-free energy for corporate fleet vehicles,mitigation,"A city or corporate fleet of vehicles is one of the easiest actions to encourage our clients to take, because the return on investment is generally very fast - within 3-5 years. After the initial cost of purchasing the new vehicles and charging/ fueling infrastructure has been paid back, this action will save the corporation significantly every year in fuel and maintenance costs. 

Things to bear in mind:
1. Availability of electric vehicles isn't fast enough yet to meet demand, but many cities (e.g. Halifax, Durham Region in Ontario) are creating coalitions with their utilities and other local fleets and negotiating purchases and better delivery schedules using their combined buying power.
2. ICE vehicles can also be converted to electric vehicles by switching the ICE drive trains to electric drive trains. Ford provides a kit to convert trucks in this way. Doing this reduces waste and energy, and is a great example of circularity - by continuing to use the body and other parts of the vehicle while still achieving the efficiency and emissions reductions coming from electric vehicles.
3. An internal combustion engine is only about 30-45% efficient - meaning only 30% (in small vehicles) to 45% (in larger diesel vehicles) of the energy generated through fuel combustion is actually used to move the vehicle. The rest is wasted. Electric vehicles are over 75% efficient. This fact significantly reduces the draw on the electricity grid that many people are worried about as we switch so much of energy consumption to electricity. 
4. Charging infrastructure comes in more forms all the time - from Level 1 - 3 chargers, to in-ground, wireless chargers, to pantograph chargers for buses. We do sometimes estimate roughly how many chargers our clients will need, but we generally recommend they develop a Fleet Electrification Plan that will ensure their charging infrastructure is optimized to the specific needs of their fleet.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0140,ssg,Switch to emissions-free energy for medium and small-scale commercial vehicles (e.g. taxis),mitigation,"Switching small and medium-scale commercial vehicles from ICE models to EVs will not only reduce emissions but also reduce operating costs (fuel and maintenance costs) for commercial vehicle operators. 
Challenges to getting commercial vehicle owners to convert to EVs include: 
- Higher capital costs, and ensuring access to charging. In the case of vehicle fleets; and, 
- Installing charging infrastructure so that costs are kept to a minimum and optimized to keep the fleet fully charged requires additional planning. 

Things to bear in mind:
1. Availability of electric vehicles isn't fast enough yet to meet demand, but many cities (e.g. Halifax, Durham Region in Ontario) are creating coalitions with their utilities and other local fleets and negotiating purchases and better delivery schedules using their combined buying power.
2. ICE vehicles can also be converted to electric vehicles by switching the ICE drive trains to electric drive trains. Ford provides a kit to convert trucks in this way. Doing this reduces waste and energy, and is a great example of circularity - by continuing to use the body and other parts of the vehicle while still achieving the efficiency and emissions reductions coming from electric vehicles.
3. An internal combustion engine is only about 30-45% efficient - meaning only 30% (in small vehicles) to 45% (in larger diesel vehicles) of the energy generated through fuel combustion is actually used to move the vehicle. The rest is wasted. Electric vehicles are over 75% efficient. This fact significantly reduces the draw on the electricity grid that many people are worried about as we switch so much of energy consumption to electricity. 
4. Charging infrastructure comes in more forms all the time - from Level 1 - 3 chargers, to in-ground, wireless chargers, to pantograph chargers for buses. We do sometimes estimate roughly how many chargers our clients will need, but we generally recommend they develop a Fleet Electrification Plan that will ensure their charging infrastructure is optimized to the specific needs of their fleet.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0141,ssg,Switch to emissions-free energy for personal use vehicles,mitigation,"Decarbonized vehicles are generally defined as those that produce zero emissions when being operated. This includes electric vehicles, where the electricity that powers them is produced from zero emissions sources such as solar, windor hydro power. It also includes hydrogen fuel cell vehicles, where the hydrogen is produced without generating emissions (i.e. green hydrogen). 

Compressed natural gas and liquid natural gas are not zero emissions fuels, and vehicles that run on these fuels are not decarbonized vehicles.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0142,ssg,Switch to emissions-free energy for commercial vehicles,mitigation,"Switching small and medium-scale commercial vehicles from ICE models to EVs will not only reduce emissions but also reduce operating costs (fuel and maintenance costs) for commercial vehicle operators. 
Challenges to getting commercial vehicle owners to convert to EVs include: 
- Higher capital costs, and ensuring access to charging. In the case of vehicle fleets; and, 
- Installing charging infrastructure so that costs are kept to a minimum and optimized to keep the fleet fully charged requires additional planning. 

Things to bear in mind:
1. Availability of electric vehicles isn't fast enough yet to meet demand, but many cities (e.g. Halifax, Durham Region in Ontario) are creating coalitions with their utilities and other local fleets and negotiating purchases and better delivery schedules using their combined buying power.
2. ICE vehicles can also be converted to electric vehicles by switching the ICE drive trains to electric drive trains. Ford provides a kit to convert trucks in this way. Doing this reduces waste and energy, and is a great example of circularity - by continuing to use the body and other parts of the vehicle while still achieving the efficiency and emissions reductions coming from electric vehicles.
3. An internal combustion engine is only about 30-45% efficient - meaning only 30% (in small vehicles) to 45% (in larger diesel vehicles) of the energy generated through fuel combustion is actually used to move the vehicle. The rest is wasted. Electric vehicles are over 75% efficient. This fact significantly reduces the draw on the electricity grid that many people are worried about as we switch so much of energy consumption to electricity. 
4. Charging infrastructure comes in more forms all the time - from Level 1 - 3 chargers, to in-ground, wireless chargers, to pantograph chargers for buses. We do sometimes estimate roughly how many chargers our clients will need, but we generally recommend they develop a Fleet Electrification Plan that will ensure their charging infrastructure is optimized to the specific needs of their fleet.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,"3. Replace (or switch),2. Reduce",transportation
CONS_0143,ssg,Replace the use of petroleum-based diesel fuel with biodiesel or renewable diesel.,mitigation,"Biodiesels are fuels that are chemically similar to petroleum diesel. In many cases, you can use 100% biodiesel in a diesel engine without needing to modify the engine. In that case, biodiesel can produce about 78% less emissions when burned than petroleum diesel.  What’s different about biodiesel is that it’s made from soybeans, corn, or food fats rather than refined from fossil fuels. It's considered ‘renewable’ because of that fact - it comes from a source that can be replenished within a person’s lifetime. The thinking there is that the natural carbon cycle of the planet incorporates a certain amount of CO2 in the atmosphere being taken up by plants (soybeans or whatever) and then being released again back into the atmosphere. Climate change has occurred because we started digging up coal and such, and releasing way more CO2 than can be accommodated within the natural cycle of plant growth and death. So if you can get fuels from that natural plant cycle rather than from fossil fuels, you are working within the limits of that natural cycle, and the fuel can be considered ‘carbon neutral’. That all makes sense except for a few things:
1. Most importantly, even if we replaced 100% of existing diesel use with biodiesel, we’d still be burning it at a much faster rate than it can be absorbed by the natural carbon cycle. We basically can’t grow the soybeans fast enough to compensate for all the biodiesel we’d be burning. So in that sense, the fuel is not carbon neutral.
2. Biodiesel tends to get more viscous when it’s cold, so it’s often blended (20% biodiesel to 80% petroleum diesel is relatively common) to avoid that problem. Depending on how it’s produced, it can also be expensive, which is another reason to blend it with fossil fuels. And as soon as you use a blend, you’re back to releasing much more emissions.
3. It does still produce many of the other air pollutants that petroleum diesel produces - in some cases less than petroleum diesel and in some cases more. 
4. Producing biodiesel generally requires a lot of water - more than petroleum diesel production. 
5. Depending on how and where it is produced, the full lifecycle of creating biodiesel can generate more emissions particularly from the electricity required in the production and from the transportation of the fuel - although both of those have emissions-free alternatives. So these issues can be resolved. 
6. And finally, producing enough soybeans and corn for fuel requires that valuable arable land is taken away from food production. At the scale at which these plants are required to produce biodiesel, this starts to impact our ability to produce enough crops to eat.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0144,ssg,Eliminate emissions from ports,mitigation,"The ports of Los Angeles and Long Beach are world leaders in decarbonizing  their ports both by requiring docked shios to use shore power and by converting all of their port cranes, vehicles and equipment to electric models. They have also extended (electric) rail links closer to freight offloading sites to increase efficiency. 
Shore Power
For a municipality, one of the most basic ways to support marine decarbonization is to provide and require the use of shore power by all ships while docked. Not only does this stop ships from burning fossil fuels, it also reduces air pollution in the area around the port. 
Considerations
- In major ports, it is important that enough power and plug infrastructure is provided to allow all docked ships to connect, and to ensure that ships can load and unload freight and passengers in the same docked position in which they can access power. 
- It is also important to work with utilities and port authorities to ensure that the demand for power from these ships can be accommodated by the grid and by on-site renewable energy generation.
- At present (2025) not all container ships or cruise ships have the ability to connect to shore power, but as ports add the requirement to stop using polluting fuels while in port, this is changing. 
- From the munipality’s perspective, making it mandatory to use shore power (initially only if a ship has the required connectors, but ultimately requring this for all ships) ensures emissions are reduced and also helps justifies the investment in charging infrastructure. 
Where is this occurring?
The State of California has made it mandatory for all ships to plug into power while docked, if they are able to do so.

In Canada, in 2025, 4 of 17 municipal port authorities had at least some shore power for cruise ships and container ships: Vancouver, Prince Rupert, Montreal and Halifax. Proposed expansions to Victoria’s, Montreal’s and Churchill’s ports are expected to include additions of shore power. (Source: https://oceansnorth.org/2025/09/15/new-analysis-benchmarks-progress-on-shore-power-implimentation-at-canadian-ports/)

China requires that all ships connect to shore power while docked if they are able to do so. The port of Shanghai has power connections for virtually docking locations. 

The EU requires ships to plug into shore power at all major ports starting in 2030, and requires all ports to provide shore power by 2035. The port of Hamburg currently provides power to virtually all dock sites in its port.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0145,ssg,Decarbonize off-road vehicles,mitigation,"Off-road vehicles includes everything from personal all-terrain vehicles to large construction equipment, mining equipment, etc. The mining industry was one of the earliest adopters of electric heavy duty equipment, which it did to eliminate poisonous fumes from underground operations. These vehilces are more commonly used than most of our clients realize.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0146,ssg,Switch to zero-emissions engines for rail,mitigation,,,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0147,ssg,Eliminate emissions from aviation,mitigation,"How much of a problem is it?
Aviation accounts for 3% of global emissions annually, and according to then IEA will account for 3.5% by 2030. 
There are two main ways in which aviation contributes to global warming. (See RMI report link below for source.)  
1. The aviation industry contributes approximately 2.4% of global CO2 emissions from aviation fuel, which is primarily kerosene.
2. The warming impact of contrails (or contrail cirrus) is estimated to contribute an additional 61% of that aviation fuel impact by reflecting  back heat that would otherwise escape into the atmosphere. 

This is a challenging sector
This is a sector which is proving difficult to decarbonize.  Here are some of the main reasons:
1. High energy density fuel: Flight requires fuels with high energy density, and we don’t have many alternatives for those kinds of fuels. (See the SAF action for details.) 
2. Electric planes: Electric planes are also in operation, but they are small planes that can only fly distances up to 1,200 km. Until a truly decarbonized solution is realized on a commercial scale (which isn’t expected on a large scale until the 2050 timeframe) the best way we have to reduce emissions from flying is by flying less. (See the Electric planes action for details.)
3. Improvements in energy efficiency are smaller than increases in flights: Before the pandemic, the efficiency of jet engines was improving by about 3% annually; however, the number of flights taken was increasing by 5% annually.
4. Contrails and N2O emissions: Non-CO2 emissions from planes at high altitudes contribute up to three times the warming effect of CO2 emissions. This includes contrails and N2O emissions. Some actions, like reducing nighttime flights, could improve this. But a comprehensive solution is not expected in the near term.Work to reduce contrails is underway by the Contrail Impact Task Force, which is led by the Rocky Mountain Institute and includes American Airlines, Boeing and the Imperial College London among others. 
5. Offsets: If effective offsets exist, they are seen by some as a valid way to reduce emissions until these other options are able to completely eliminate the global warming impact of flight. 

When do we include it in our plans? 
Emissions from aviation should be included in the climate action plans of any area that has an airport within its boundwry, or that is used by the populatioj residing within its boundary . This requires some judgement - obviously we don’t need to account for flights taken from every single airport any resident of the community flies from in a given year. But if there is an airport commonly used by municipal residents, for example, we should make efforts to include its emissions in our baseline, and include reduction actions. In addition, there are rules regarding howthe portion of an airport’s emissions that a community is responsible for, that should be followed . See the GPC protocol for details. 
How can we reduce emissions from aviation?

1. Switch to sustainable aviatIon fuel. (See the Sustainable Aviation Fuel child action for details.
2. Switching to electric planes. Electric planes currently have a limited range, but some industry experts are confident that this limitation will be overcome in the relatively near future. 
3. Offset emissions with local, proven offsets.
4. Fly less.

Note that presently there is no mitigation action for contrails, but it is being worked on.

Sustainable Aviation Fuel
See the ‘child action’ for details. Alternative fuels with lower emissions are called ‘sustainable aviation fuel’ or SAF. 
Electric planes
Electric short-haul planes are already in use in locations such as Victoria, B.C. Presently they can generally fly up to 1,200 km with a small number of passengers.
What reductions has the international aviation industry committed to?
The International Civil Aviation Organization (ICAO) participates in COPs and overseas the industry’s commitments to international emissions reduction initiatives. The aviation industry as a whole has committed to a 50% reduction in emissions relative to 2005 by 2050. However, individual airlines have made their own commitments:
- United, Airlines, 
- Virgin Atlantic,
- KLM, 
- British Airways, and 
- Lufthansa have all made various commitments to reducing their emissions.

Airports have also made commitments to provide SAF, and to eliminating emissions from their own operations. Oslo airport began offering SAF in 2016, and LAX followed shortly thereafter.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0148,ssg,Reduce driving ICE vehicles - both the number of trips and the distances driven,mitigation,"Why is this important? 
Reducing people's dependence on ICE vehicles is part of an overall need to eliminate fossil fuel combustion for transportation. Simplistically, we may think all we need to do is simply switch all our existing vehicles to decarbonized models. However there are a few problems with this: 
- EVs are still significantly more expensive than ICE vehicles, although most types and models are expected to be priced at parity with ICEs by 2030-2032.
- There aren't enough EVs being produced fast enough to swap them all out, so logistically this is impossible.
- A complete charging and fueling infrastructure network isn't in place yet, although it's growing rapidly in most places.
- Less significantly, EVs are significantly heavier than ICE vehicles, so if we swapped out ICEs one-for-one with EVs, roadways would have more wear and could experience particular problems during heat waves, ferries could carry fewer vehicles, etc.

Are there other benefits from doing this? 
There are also lots of good reasons to drive less, and to transport goods less:
- It reduces congestion within cities. With cities expected to continue growing, this will become even more important in coming years.
- Emissions from ICE vehicles are a significant source of air pollution which in turn causes or exacerbates asthma and other lung diseases.
- Vehicle maintenance and fuel is consistently the first or second largest average household expense in North America. If we can stop building communities in such a way that residents are required to rely on owning a personal vehicle, we can make life much more affordable, especially for lower income people.
- Active transportation (i.e. biking, walking, using scooters, etc.) significantly improves peoples' physical and mental health, reduces sick days taken, is consistently reported to be a more enjoyable commute, and reduces health costs associated with diseases caused by inactivity.  (See the Increase active transportation mode share action for more details.) 
- Car sharing is a step in the right direction, as you get more people traveling with less emissions. This is a relatively minor impact on emissions, but it can be a useful interim objective to increase car sharing.
- Taking transit significantly reduces emissions even taking into consideration the fact that the vehicles are larger. (See the Transit actions for more details.)
- Reducing the number of ICE vehicles on the roads also decreases noise which has been shown to be an issue for bird populations. As traffic noise levels increase, bird populations tend to decrease because the birds are less able to hear each other and so less able to communicate with mating partners or flocks.
- Active transportation is very inexpensive both for the traveler and for the city or region from an infrastructure perspective. From a city's perspective, 1 km of active transportation infrastructure is much less costly to build in terms of materials, labor and land use. It is also much less costly to maintain even in northern climates.  
- Purchasing goods made or grown locally, rather than shipping them in reduces freight emissions, energy use, etc. required in that transportation, reduces costs associated with transportation, stimulates the local economy, and makes the community more resilient/ independent.  

For all of these reasons and more, taking actions to reduce the number of ICE vehicle trips within all communities is important, relatively inexpensive, and an extremely beneficial step in decarbonization.	 

If it's so obvious, why isn't everyone already doing this? 
Generally the biggest challenge in North America to achieve a meaningful reduction in ICE vehicle use is changing people's habits and the car culture in which we live. Car ownership has become entrenched in everything from our city planning to how we mark children's coming-of-age to status symbols.  Those communities that have successfully begun to reduce car use have: 
1. Taken a multi-pronged approach to  the problem - offering both carrots (e.g. paying people per km taking transit, biking or walking) and sticks (charging for ICE vehicle parking, and reducing parking) to change behaviors. 
2. Taken a very flexible and dynamic approach to designing new active transportation routes such that when one proposed route causes a problem it's adjusted within hours or days.
3. Diligently tracked indicators of success or failure, including counting riders on transit at a detailed level, counting cyclists and pedestrians, tracking revenue for businesses along active transportation routes, etc. 

How do we measure whether and how much this is changing? 
There are a few ways to measure this change:
- Vehicle kilometres / miles travelled - also known as VKT or VMT - are a measure of the total distance travelled by all vehicles within a city over the course of a year. Many cities and regions have calculations of these numbers, and their transportation departments use traffic counters and modelling to monitor how this changes over time.
- Vehicle registrations - the number and type of vehicles registered in a community can be reviewed annually to identify trends in vehicle purchasing and ownership.
- Transit ridership, bike and pedestrian counters can provide real-time and highly location-specific data useful when expanding and improving these modes of transportation.

How do we do it? 
The sub-actions for this action describe many of the ways in which this can be done. There are also a variety of case studies associated with this action and/ or its sub-actions that provide good examples of where it has been done.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0149,ssg,Work/ study from home,mitigation,"Working or studying from home reduces the need to travel to and from work or school, and eliminates the emissions associated with those trips.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,1. Avoid,transportation
CONS_0150,ssg,Decrease vehicle km traveled,mitigation,,,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0151,ssg,Reduce high-emissions travel,mitigation,Reduce community-wide travel through any mode of transportation that generates high amounts of greenhouse gases.,,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0152,ssg,Reduce emission-generating business travel,mitigation,"This includes reducing all types of trips that produce emissions, from reducing flights to conferences and meetings, to walking or biking to another office for a local meeting.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,1. Avoid,transportation
CONS_0153,ssg,Decrease fuel use by improving vehicle and driver behaviours,mitigation,"If this is being used with ICE vehicles, the value is relatively small, and it should only be a temporary measure. In EVs, it's a valid way to reduce energy use.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0154,ssg,Improve efficiency of marine transportation,mitigation,This should be a temporary measure with decarbonization of marine transportation as the ultimate action.,,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0155,ssg,Improve fuel efficiency in vehicles or use 'cleaner' fuels,mitigation,This is not a recommended action because the need to get to zero emissions vehicles is now so urgent that the lifespan of (even more fuel efficient) ICE vehicles will cause us to still be generating emissions too late.,,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,"2. Reduce,Not recommended",transportation
CONS_0156,ssg,Switch to electric planes for short flights,mitigation,"As of 2024, commercial electric planes are able to fly up to 1200 km. These planes are small, taking a maximum of approximately 20 passengers. 

While the industry continues to work on expanding their range, and increasing the size of plane, manufacturers are also developing planes to carry freight only that are operated remotely.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0157,ssg,Switch to wind-powered cargo ships,mitigation,"A 100% wind-powered cargo ship that can dramatically cut transatlantic shipping times and carbon emissions, according to its operator, could launch in early 2027.
The vessel can hold approximately five times the capacity of a cargo plane, says the company. Vela positions its services somewhere between conventional sea and air freight: quicker than sea freight, slower than air freight, and with much lower emissions than either.
The trimaran, with two smaller hulls on either side of a central hull, will be propelled by sails extending 200 feet (61 meters) above the waterline, with onboard power for living and working quarters, plus temperature-controlled cargo holds, provided by solar panels and two hydro generators. Vela says it will travel at an average speed of 14 knots — equivalent to the speed of a modern container ship — between New Jersey and Normandy or Bordeaux, France.
French company Vela will run a service between France and the US with its custom-made seacraft. The 220-foot (67-meter) long, 82-foot (25-meter) wide vessel will be able to transport just over 400 metric tons of cargo, and was designed with the input of Vela cofounder François Gabart, a professional yacht racer and the fastest sailor to circumnavigate the globe solo.
A life cycle assessment, conducted by Vela and climate consultancy group Carbone 4, calculated carbon emissions from the North Atlantic crossing would be up to 96% less than a conventional container ship, and up to 99% less than air freight.
With everything factored in, Vela says it can load, cross the Atlantic and unload in 15 days.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0158,ssg,Decrease aviation emissions by using sustainable aviation fuel (SAF).,mitigation,"Switching to Sustainable Aviation Fuel (SAF) is the primary way the industry is currently working to reduce emissions from aviation. SAF is basically renewable natural gas for planes. It still produces emissions, but it is derived from renewable sources rather than fossil fuels. It is often a blend of traditional jet fuel and up to 50% biofuels, which may be made from everything from soybeans to canola oil. Biofuel can be added directly to existing fuel tanks and does not require modifications to engines to be used. It is increasingly being used, especially for long-haul flights. 
Why is it considered to be ‘zero emissions’?
This fuel is officially considered to produce zero emissions because it is produced from plants which absorbed the same amount of emissions as they grew that they will release when they are burned as fuel. However this is only true if the plants and waste used to create it are replenished at the same rate it's used, which isn't the case. If we switched all flights to SAF immediately, we'd be emitting much faster than plants would be growing to sequester those emissions. 
Limited availability
The renewable sources from which SAF can be made are limited, so it is currently difficult to produce in sufficient quantities. In 2018, 15 million liters of biofuel used for aviation still only accounted for 0.1% of the total aviation fuel used.Some estimate that it is can only be ramped up to a maximum of 2% of all aviation fuel, but The IEA anticipates biofuel will make up 10% of all aviation fuel by 2030 and 20% by 2040. 
We also need to ensure that we are not diverting crops relied upon for food. The solution is believed to lie in using more  food and organic waste to produce biofuel. 
Expensive
Partially because of its limited availability, SAF is much more expensive than jet fuel. And jet fuel is already airlines’s greatest cost. This makes switching to it difficult withou significantly increasing costs to passengers.",,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,2. Reduce,transportation
CONS_0159,ssg,Switch to emissions-free energy for ferries,mitigation,The vast majority of ferries run on fossil fuels such as diesel. Current industry trends suggest transitioning to electric ferries powered with zero-emissions electricity is the best zero-emissions alternative. See the San Francisco case study.,,,II,"[""II.1.1"", ""II.1.2"", ""II.1.3""]",,,,intervention,,,,expert_reviewed,3. Replace (or switch),transportation
CONS_0160,ssg,Reduce generation of waste,mitigation,,,,III,"[""III.1.1""]",,,,intervention,,,,expert_reviewed,1. Avoid,waste
CONS_0161,ssg,Decrease waste sent to an emitting landfill,mitigation,,,,III,"[""III.1.1""]",,,,intervention,,,,expert_reviewed,2. Reduce,waste
CONS_0162,ssg,Improve waste treatment,mitigation,,,,III,"[""III.1.1""]",,,,intervention,,,,expert_reviewed,2. Reduce,waste
CONS_0163,ssg,Implement systems to produce 'renewable' versions of natural gas,mitigation,,,,III,"[""III.1.1""]",,,,intervention,,,,expert_reviewed,4. Remove,waste
CONS_0164,ssg,Add low-impact development facilities (LID) or green stormwater infrastructure to reduce the amount of water being processed in the sewer or stormwater system.,mitigation,"Green stormwater infrastructure, or Low Impact Development (LID) facilities slow stormwater and reduce the total volume of it that enters the stormwater system, or the sewer system in the case they're combined. In combined stormwater/ sewer systems, reducing the amount of stormwater being processed will reduce the amount of energy required to treat it, and this in turn reduces the emissions generated to produce that energy. 
LID incorporates plants, engineered soils, and natural processes to capture stormwater runoff close to its source. Stormwater enters the LID and flows into the engineered soil layer with the ability to capture and filter stormwater. Specially selected plants then absorb the water or it evaporates. Any excess water that isn't used by the plants and soils drains into the stormwater system.",,,III,"[""III.1.1""]",,,,intervention,,,,expert_reviewed,1. Avoid,waste
CONS_0165,ssg,Separate stormwater capture from wastewater system,mitigation,,,,III,"[""III.1.1""]",,,,intervention,,,,expert_reviewed,1. Avoid,waste
CONS_0166,ssg,Build small-scale reservoirs on agricultural land to reduce irrigation,mitigation,,,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,2. Reduce,afolu
CONS_0167,ssg,Reduce conventional tillage practices for crops,mitigation,"Reducing or eliminating tillage of crops reduces emissions in several ways: 
1. It reduces the need to drive agricultural vehicles, reducing the emissions from those vehicles. 
2. Not tilling and not driving over soil reduces compaction of the soil, which in turn supports better crop growth and carbon sequestration.

The specific calculation used for the CMCOG project was as follows: 
Number of acres converted from intensive tillage to non-tilled saves 0.77 tonne CO2e/year/acre. (Source: Journal of Advances in Agronomy and Crop Science. See References below.)",,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,2. Reduce,afolu
CONS_0168,ssg,Implement diversified crop rotation on some or all crop lands,mitigation,"Emissions calculations by crop can be found here: https://apps.carboncloud.com/climatehub/agricultural-reports/benchmarks/c47770c9-701d-470f-9919-de4dadf9e8b6

Crop Diversification & Changes in Crop Sequencing (Source: https://apps.msuextension.org/montguide/guide.html?sku=MT201704AG )
- Pulse crops enable producers to diversify their production and cope with increasing variability in temperature and precipitation
- Pulse crops have substantial rotational benefits for wheat and barley production including improved soil fertility, increased water use efficiency, and disruption of pest and disease cycles
- By replacing summer fallow with pulse crops, farmers are able to increase cropping intensity while improving soil health and potentially increasing soil moisture retention
- Chickpeas, dry peas and lentils consume less water than spring wheat, making them well-adapted to increasingly hotter summer temperatures

Capturing Carbon in the Soil (Source: https://apps.msuextension.org/montguide/guide.html?sku=MT201704AG )
- If moisture is available, the inclusion of cover crops as temporary vegetative cover between agricultural crops can add carbon to soil and may also capture excess plant-available nitrogen that was not used by the previous crop in the rotation, reducing the release of nitrous oxide, a greenhouse gas.",,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,2. Reduce,afolu
CONS_0169,ssg,Increase use of precision agriculture technologies in farming.,mitigation,"""Precision agriculture technologies"" include a growing number of sophisticated agricultural tools that reduce everything from the amount of pesticide and herbicide applied to fuel used to irrigation. Some examples include: 
- Controlled Traffic Farming, which reduces fuel use in farm vehicles;
- Variable nutrient application rates, which reduces N2O emissions from excess fertilizer application; and, 
- Variable irrigation rates, which reduces emissions from energy used to run irrigation systems.",,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,2. Reduce,afolu
CONS_0170,ssg,Improve efficiency of agricultural irrigation,mitigation,"Optimizing agricultural irrigation efficiency requires that as little water as possible is wasted (through leakage or evaporation for example), that irrigation doesn't draw from water treated to a drinking water standard, and that moving water is done using highly energy-efficient systems, preferably powered by renewable sources.",,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,"2. Reduce,3. Replace (or switch)",afolu
CONS_0171,ssg,Increase use of rotational grazing,mitigation,[To be completed],,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,,afolu
CONS_0172,ssg,Install anaerobic digesters on individual farms,mitigation,See 'Implement anaerobic digesters...' action for more details on anaerobic digestion generally.,,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,2. Reduce,afolu
CONS_0173,ssg,Substituting and adjusting livestock feed,mitigation,"Most of the emissions from animal production come from methane released through the digestive process of livestock, and from manure management. Substituting and adjusting livestock feed can reduce these emissions–for example, by moving from corn to barley, adding seaweed or other food additives, or switching to high-quality forages like alfalfa.",,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,"2. Reduce,3. Replace (or switch)",afolu
CONS_0174,ssg,Improve energy efficiency in agricultural operations and rural businesses,mitigation,"Improving energy efficiency in agricultural operations begins with an energy audit that is appropriate to the type of agricultural operation. Based on this evaluation, recommendations can be made regarding everything from locations of equipment and tasks, to improving building insulation, to adding and switching technologies.",,,V,"[""V.1"", ""V.2""]",,,,intervention,,,,expert_reviewed,2. Reduce,afolu
CONS_0175,ssg,Use gravity-based water distribution,mitigation,,,,III,"[""III.4.1""]",,,,intervention,,,,expert_reviewed,2. Reduce,water_use
